input_id,output_id,input_type,output_type,addkey,source_id,filename,F,B,.
1672636941x001_001101,,batchControlInfo,batchControlInfo,,TAP3O,CDIRN11OMNGT06402 (1),releaseVersionNumber 12,fileAvailableTimeStamp,
1672636941x001_001101,,accountingInfo,accountingInfo,,TAP3O,CDIRN11OMNGT06402 (1),tapDecimalPlaces 6,CurrencyConversion,
